ID,Positively charged,Polarity,Non polarity,Cyclic,Aromaticity,Basicity,Hydrophobicity,Hydrophilicity,Small
Seq_96,0.059,0.059,0.647,0.0,0.118,0.059,0.529,0.118,0.529
Seq_97,0.059,0.118,0.588,0.0,0.059,0.059,0.471,0.118,0.588
Seq_98,0.059,0.118,0.588,0.0,0.059,0.059,0.412,0.118,0.647
Seq_99,0.059,0.118,0.588,0.0,0.059,0.059,0.412,0.118,0.647
Seq_100,0.059,0.118,0.647,0.0,0.059,0.059,0.471,0.118,0.588
Seq_101,0.118,0.118,0.588,0.0,0.059,0.118,0.471,0.176,0.529
Seq_102,0.118,0.176,0.588,0.0,0.059,0.118,0.529,0.176,0.588
Seq_103,0.176,0.176,0.529,0.0,0.059,0.176,0.471,0.235,0.588
Seq_104,0.176,0.176,0.529,0.0,0.118,0.176,0.471,0.235,0.588
Seq_105,0.176,0.235,0.471,0.0,0.118,0.176,0.471,0.235,0.588
Seq_106,0.118,0.235,0.471,0.0,0.118,0.118,0.471,0.176,0.647
Seq_107,0.118,0.294,0.412,0.0,0.118,0.118,0.529,0.176,0.647
Seq_108,0.176,0.294,0.353,0.0,0.118,0.176,0.471,0.235,0.588
Seq_109,0.176,0.294,0.353,0.0,0.118,0.176,0.471,0.294,0.588
Seq_110,0.176,0.353,0.294,0.0,0.059,0.176,0.412,0.294,0.588
Seq_111,0.176,0.353,0.294,0.0,0.059,0.176,0.412,0.235,0.529
Seq_112,0.176,0.294,0.353,0.0,0.118,0.176,0.412,0.235,0.471
Seq_113,0.235,0.294,0.294,0.0,0.118,0.235,0.412,0.294,0.412
Seq_114,0.235,0.235,0.294,0.0,0.118,0.235,0.412,0.294,0.353
Seq_115,0.235,0.235,0.235,0.0,0.118,0.235,0.412,0.294,0.294
Seq_116,0.235,0.235,0.235,0.0,0.118,0.235,0.412,0.294,0.294
Seq_117,0.235,0.235,0.235,0.0,0.176,0.235,0.412,0.294,0.294
Seq_118,0.176,0.235,0.294,0.0,0.176,0.176,0.471,0.235,0.353
Seq_119,0.176,0.176,0.294,0.0,0.176,0.176,0.412,0.235,0.294
Seq_120,0.118,0.176,0.353,0.059,0.176,0.118,0.471,0.235,0.353
Seq_121,0.118,0.176,0.353,0.059,0.118,0.118,0.471,0.235,0.353
Seq_122,0.176,0.118,0.353,0.059,0.118,0.176,0.412,0.294,0.294
Seq_123,0.235,0.118,0.353,0.059,0.118,0.235,0.412,0.353,0.235
Seq_124,0.294,0.059,0.353,0.059,0.118,0.294,0.353,0.412,0.176
Seq_125,0.235,0.059,0.353,0.059,0.118,0.235,0.353,0.353,0.235
Seq_126,0.294,0.059,0.353,0.059,0.118,0.294,0.353,0.353,0.176
Seq_127,0.294,0.0,0.412,0.059,0.118,0.294,0.412,0.353,0.235
Seq_128,0.294,0.0,0.471,0.118,0.118,0.294,0.471,0.412,0.294
Seq_129,0.294,0.0,0.471,0.118,0.118,0.294,0.471,0.412,0.294
Seq_130,0.294,0.0,0.471,0.118,0.118,0.294,0.471,0.412,0.294
Seq_131,0.294,0.0,0.529,0.118,0.118,0.294,0.529,0.412,0.294
Seq_132,0.353,0.0,0.529,0.118,0.118,0.353,0.529,0.471,0.294
Seq_133,0.353,0.059,0.471,0.118,0.118,0.353,0.529,0.471,0.353
Seq_134,0.353,0.059,0.471,0.118,0.059,0.353,0.471,0.471,0.412
Seq_135,0.412,0.059,0.412,0.118,0.059,0.412,0.412,0.529,0.353
Seq_136,0.412,0.059,0.471,0.118,0.059,0.412,0.471,0.529,0.353
Seq_137,0.471,0.059,0.412,0.059,0.059,0.471,0.412,0.529,0.294
Seq_138,0.471,0.059,0.412,0.059,0.059,0.471,0.412,0.529,0.294
Seq_139,0.471,0.059,0.412,0.059,0.059,0.471,0.412,0.529,0.294
Seq_140,0.412,0.059,0.471,0.059,0.059,0.412,0.471,0.471,0.294
Seq_141,0.353,0.118,0.471,0.059,0.118,0.353,0.471,0.412,0.294
Seq_142,0.353,0.118,0.529,0.059,0.118,0.353,0.529,0.412,0.294
Seq_143,0.294,0.118,0.588,0.059,0.118,0.294,0.588,0.353,0.294
Seq_144,0.294,0.118,0.588,0.059,0.118,0.294,0.588,0.353,0.235
Seq_145,0.294,0.118,0.588,0.059,0.118,0.294,0.588,0.353,0.235
Seq_146,0.294,0.118,0.588,0.059,0.059,0.294,0.588,0.353,0.235
Seq_147,0.294,0.118,0.588,0.059,0.059,0.294,0.588,0.353,0.235
Seq_148,0.294,0.118,0.588,0.059,0.059,0.294,0.588,0.353,0.235
Seq_149,0.235,0.118,0.647,0.059,0.059,0.235,0.647,0.294,0.294
Seq_150,0.235,0.059,0.647,0.059,0.059,0.235,0.588,0.294,0.235
Seq_151,0.235,0.118,0.588,0.059,0.059,0.235,0.588,0.294,0.235
Seq_152,0.176,0.118,0.647,0.059,0.059,0.176,0.588,0.235,0.294
Seq_153,0.176,0.118,0.588,0.059,0.059,0.176,0.529,0.235,0.294
Seq_154,0.118,0.118,0.588,0.059,0.059,0.118,0.529,0.176,0.353
Seq_155,0.118,0.176,0.529,0.059,0.059,0.118,0.529,0.176,0.412
Seq_156,0.059,0.176,0.529,0.059,0.059,0.059,0.529,0.118,0.471
Seq_157,0.059,0.176,0.529,0.059,0.059,0.059,0.529,0.118,0.529
Seq_158,0.059,0.118,0.588,0.059,0.0,0.059,0.588,0.118,0.529
Seq_159,0.059,0.176,0.529,0.059,0.0,0.059,0.588,0.118,0.529
Seq_160,0.059,0.176,0.529,0.059,0.0,0.059,0.588,0.118,0.529
Seq_161,0.059,0.176,0.529,0.059,0.0,0.059,0.588,0.118,0.529
Seq_162,0.059,0.176,0.529,0.0,0.0,0.059,0.588,0.059,0.471
Seq_163,0.059,0.235,0.471,0.0,0.0,0.059,0.529,0.059,0.471
Seq_164,0.0,0.235,0.471,0.0,0.0,0.0,0.529,0.0,0.471
Seq_165,0.059,0.235,0.412,0.0,0.0,0.059,0.471,0.059,0.471
Seq_166,0.059,0.235,0.412,0.0,0.0,0.059,0.471,0.059,0.471
Seq_167,0.118,0.235,0.412,0.0,0.0,0.118,0.471,0.118,0.471
Seq_168,0.118,0.176,0.412,0.0,0.0,0.118,0.471,0.176,0.471
Seq_169,0.118,0.176,0.412,0.0,0.0,0.118,0.529,0.176,0.412
Seq_170,0.118,0.176,0.471,0.0,0.0,0.118,0.588,0.176,0.412
Seq_171,0.118,0.176,0.529,0.059,0.0,0.118,0.647,0.235,0.412
Seq_172,0.118,0.118,0.588,0.059,0.0,0.118,0.647,0.235,0.353
Seq_173,0.118,0.118,0.647,0.059,0.0,0.118,0.706,0.235,0.294
Seq_174,0.118,0.176,0.588,0.059,0.0,0.118,0.647,0.235,0.235
Seq_175,0.118,0.176,0.529,0.059,0.0,0.118,0.588,0.235,0.235
Seq_176,0.118,0.176,0.529,0.059,0.059,0.118,0.529,0.235,0.176
Seq_177,0.118,0.176,0.529,0.059,0.118,0.118,0.529,0.235,0.176
Seq_178,0.118,0.176,0.529,0.118,0.118,0.118,0.529,0.294,0.235
Seq_179,0.118,0.176,0.471,0.118,0.118,0.118,0.471,0.294,0.235
Seq_180,0.118,0.118,0.529,0.118,0.118,0.118,0.529,0.294,0.235
Seq_181,0.118,0.118,0.529,0.118,0.118,0.118,0.529,0.294,0.235
Seq_182,0.059,0.118,0.588,0.118,0.176,0.059,0.588,0.235,0.235
Seq_183,0.059,0.176,0.529,0.118,0.176,0.059,0.529,0.235,0.176
Seq_184,0.0,0.176,0.588,0.118,0.176,0.0,0.588,0.176,0.235
Seq_185,0.0,0.176,0.647,0.118,0.176,0.0,0.647,0.118,0.235
Seq_186,0.0,0.176,0.588,0.118,0.176,0.0,0.588,0.118,0.235
Seq_187,0.0,0.235,0.529,0.118,0.176,0.0,0.529,0.118,0.294
Seq_188,0.0,0.294,0.471,0.059,0.235,0.0,0.471,0.059,0.235
Seq_189,0.0,0.294,0.412,0.059,0.235,0.0,0.412,0.059,0.235
Seq_190,0.0,0.294,0.412,0.059,0.235,0.0,0.412,0.059,0.294
Seq_191,0.0,0.294,0.412,0.059,0.294,0.0,0.412,0.059,0.294
Seq_192,0.0,0.294,0.412,0.059,0.294,0.0,0.412,0.059,0.353
Seq_193,0.0,0.235,0.471,0.059,0.235,0.0,0.471,0.059,0.353
Seq_194,0.0,0.235,0.471,0.059,0.176,0.0,0.471,0.059,0.412
Seq_195,0.0,0.235,0.412,0.0,0.176,0.0,0.412,0.0,0.353
Seq_196,0.0,0.235,0.471,0.0,0.176,0.0,0.471,0.0,0.353
Seq_197,0.0,0.294,0.412,0.0,0.176,0.0,0.412,0.0,0.353
Seq_198,0.0,0.353,0.412,0.0,0.176,0.0,0.412,0.0,0.353
Seq_199,0.0,0.353,0.412,0.0,0.118,0.0,0.412,0.0,0.353
Seq_200,0.0,0.353,0.412,0.0,0.176,0.0,0.412,0.0,0.353
Seq_201,0.0,0.353,0.353,0.0,0.176,0.0,0.353,0.0,0.294
Seq_202,0.0,0.412,0.294,0.0,0.176,0.0,0.294,0.0,0.235
Seq_203,0.059,0.412,0.294,0.0,0.176,0.059,0.294,0.059,0.235
Seq_204,0.118,0.353,0.294,0.0,0.176,0.118,0.294,0.118,0.176
Seq_205,0.118,0.294,0.353,0.0,0.118,0.118,0.353,0.118,0.235
Seq_206,0.118,0.294,0.353,0.0,0.118,0.118,0.353,0.118,0.235
Seq_207,0.118,0.294,0.353,0.0,0.118,0.118,0.294,0.118,0.235
Seq_208,0.176,0.235,0.353,0.0,0.059,0.176,0.294,0.176,0.235
Seq_209,0.176,0.235,0.353,0.0,0.059,0.176,0.294,0.176,0.176
Seq_210,0.176,0.235,0.353,0.0,0.059,0.176,0.235,0.176,0.235
Seq_211,0.176,0.235,0.353,0.0,0.059,0.176,0.235,0.176,0.176
Seq_212,0.176,0.235,0.412,0.0,0.059,0.176,0.294,0.176,0.176
Seq_213,0.176,0.235,0.412,0.0,0.059,0.176,0.294,0.176,0.235
Seq_214,0.235,0.176,0.412,0.0,0.059,0.235,0.294,0.235,0.235
Seq_215,0.235,0.118,0.412,0.0,0.059,0.235,0.294,0.235,0.294
Seq_216,0.235,0.118,0.412,0.059,0.059,0.235,0.294,0.294,0.353
Seq_217,0.235,0.059,0.471,0.059,0.0,0.235,0.353,0.294,0.353
Seq_218,0.235,0.118,0.471,0.059,0.0,0.235,0.412,0.294,0.412
Seq_219,0.235,0.059,0.529,0.059,0.0,0.235,0.471,0.294,0.412
Seq_220,0.176,0.118,0.529,0.059,0.059,0.176,0.471,0.235,0.412
Seq_221,0.176,0.118,0.529,0.059,0.059,0.176,0.471,0.235,0.412
Seq_222,0.235,0.118,0.471,0.059,0.059,0.235,0.412,0.294,0.353
Seq_223,0.235,0.118,0.529,0.059,0.059,0.235,0.412,0.294,0.412
Seq_224,0.294,0.118,0.471,0.059,0.059,0.294,0.412,0.353,0.353
Seq_225,0.294,0.118,0.471,0.059,0.059,0.294,0.412,0.353,0.353
Seq_226,0.294,0.176,0.471,0.059,0.059,0.294,0.412,0.353,0.412
Seq_227,0.294,0.176,0.471,0.059,0.059,0.294,0.412,0.353,0.412
Seq_228,0.294,0.176,0.471,0.059,0.118,0.294,0.412,0.353,0.412
Seq_229,0.294,0.176,0.471,0.059,0.176,0.294,0.412,0.353,0.412
Seq_230,0.353,0.176,0.412,0.059,0.176,0.353,0.353,0.412,0.353
Seq_231,0.294,0.176,0.471,0.059,0.176,0.294,0.412,0.353,0.353
Seq_232,0.353,0.176,0.471,0.059,0.176,0.353,0.412,0.412,0.294
Seq_233,0.353,0.176,0.471,0.059,0.176,0.353,0.412,0.412,0.294
Seq_234,0.353,0.176,0.412,0.059,0.176,0.353,0.353,0.412,0.294
Seq_235,0.353,0.118,0.412,0.059,0.176,0.353,0.294,0.471,0.294
Seq_236,0.353,0.118,0.353,0.059,0.176,0.353,0.235,0.471,0.294
Seq_237,0.353,0.059,0.412,0.059,0.118,0.353,0.294,0.471,0.353
Seq_238,0.294,0.059,0.412,0.059,0.118,0.294,0.294,0.412,0.412
Seq_239,0.235,0.059,0.471,0.059,0.118,0.235,0.294,0.353,0.471
Seq_240,0.235,0.059,0.471,0.059,0.118,0.235,0.353,0.353,0.412
Seq_241,0.176,0.059,0.529,0.059,0.118,0.176,0.412,0.294,0.412
Seq_242,0.118,0.118,0.529,0.059,0.118,0.118,0.412,0.235,0.412
Seq_243,0.118,0.059,0.588,0.059,0.118,0.118,0.412,0.235,0.412
Seq_244,0.118,0.059,0.588,0.059,0.118,0.118,0.471,0.235,0.353
Seq_245,0.118,0.059,0.588,0.059,0.059,0.118,0.471,0.235,0.412
Seq_246,0.118,0.059,0.588,0.059,0.059,0.118,0.471,0.235,0.412
Seq_247,0.059,0.059,0.647,0.059,0.059,0.059,0.471,0.176,0.471
Seq_248,0.059,0.118,0.588,0.059,0.059,0.059,0.471,0.176,0.529
Seq_249,0.059,0.118,0.588,0.059,0.059,0.059,0.471,0.176,0.529
Seq_250,0.059,0.118,0.588,0.0,0.059,0.059,0.412,0.118,0.529
Seq_251,0.059,0.118,0.647,0.0,0.059,0.059,0.471,0.118,0.529
Seq_252,0.059,0.118,0.706,0.0,0.059,0.059,0.529,0.059,0.529
Seq_253,0.059,0.118,0.706,0.0,0.059,0.059,0.529,0.118,0.588
Seq_254,0.059,0.118,0.647,0.0,0.059,0.059,0.471,0.118,0.529
Seq_255,0.059,0.118,0.706,0.0,0.059,0.059,0.471,0.118,0.529
Seq_256,0.118,0.118,0.647,0.0,0.059,0.118,0.471,0.176,0.471
Seq_257,0.118,0.118,0.647,0.0,0.059,0.118,0.471,0.176,0.529
Seq_258,0.118,0.118,0.647,0.0,0.059,0.118,0.471,0.176,0.529
Seq_259,0.118,0.059,0.706,0.0,0.059,0.118,0.471,0.176,0.588
Seq_260,0.118,0.059,0.706,0.0,0.118,0.118,0.529,0.176,0.529
Seq_261,0.118,0.059,0.647,0.0,0.118,0.118,0.471,0.176,0.529
Seq_262,0.118,0.059,0.647,0.0,0.118,0.118,0.471,0.176,0.529
Seq_263,0.118,0.059,0.647,0.0,0.059,0.118,0.471,0.176,0.529
Seq_264,0.118,0.059,0.647,0.0,0.059,0.118,0.529,0.176,0.471
Seq_265,0.118,0.0,0.647,0.0,0.059,0.118,0.471,0.176,0.412
Seq_266,0.059,0.059,0.647,0.0,0.059,0.059,0.471,0.118,0.471
Seq_267,0.059,0.059,0.647,0.0,0.059,0.059,0.471,0.118,0.471
Seq_268,0.118,0.059,0.588,0.0,0.059,0.118,0.412,0.176,0.471
Seq_269,0.118,0.059,0.588,0.0,0.059,0.118,0.412,0.176,0.412
Seq_270,0.118,0.059,0.647,0.0,0.059,0.118,0.471,0.118,0.412
Seq_271,0.118,0.059,0.647,0.0,0.059,0.118,0.471,0.176,0.471
Seq_272,0.118,0.059,0.647,0.0,0.059,0.118,0.529,0.176,0.471
Seq_273,0.059,0.118,0.647,0.0,0.059,0.059,0.588,0.118,0.529
Seq_274,0.059,0.118,0.588,0.0,0.059,0.059,0.529,0.176,0.529
Seq_275,0.059,0.118,0.588,0.0,0.059,0.059,0.529,0.176,0.529
Seq_276,0.059,0.176,0.529,0.0,0.059,0.059,0.529,0.176,0.529
Seq_277,0.118,0.176,0.471,0.0,0.0,0.118,0.471,0.235,0.529
Seq_278,0.118,0.176,0.529,0.0,0.0,0.118,0.529,0.235,0.588
Seq_279,0.118,0.176,0.529,0.0,0.0,0.118,0.529,0.235,0.529
Seq_280,0.118,0.176,0.529,0.0,0.0,0.118,0.529,0.235,0.529
Seq_281,0.118,0.176,0.471,0.0,0.0,0.118,0.471,0.235,0.588
Seq_282,0.118,0.176,0.471,0.0,0.0,0.118,0.471,0.235,0.588
Seq_283,0.118,0.118,0.529,0.0,0.059,0.118,0.529,0.235,0.529
Seq_284,0.118,0.176,0.471,0.0,0.059,0.118,0.588,0.235,0.529
Seq_285,0.059,0.176,0.471,0.0,0.059,0.059,0.588,0.176,0.529
Seq_286,0.059,0.235,0.412,0.0,0.059,0.059,0.588,0.176,0.588
Seq_287,0.059,0.235,0.412,0.0,0.059,0.059,0.588,0.176,0.588
Seq_288,0.118,0.235,0.412,0.0,0.059,0.118,0.588,0.176,0.529
Seq_289,0.118,0.235,0.353,0.0,0.059,0.118,0.529,0.176,0.471
Seq_290,0.118,0.176,0.412,0.0,0.059,0.118,0.529,0.176,0.471
Seq_291,0.118,0.235,0.412,0.0,0.059,0.118,0.588,0.118,0.471
Seq_292,0.118,0.235,0.412,0.0,0.059,0.118,0.588,0.118,0.471
Seq_293,0.118,0.235,0.412,0.0,0.059,0.118,0.588,0.118,0.471
Seq_294,0.059,0.294,0.412,0.0,0.059,0.059,0.588,0.059,0.471
Seq_295,0.059,0.294,0.412,0.0,0.118,0.059,0.588,0.059,0.412
Seq_296,0.059,0.294,0.412,0.0,0.118,0.059,0.529,0.059,0.471
Seq_297,0.059,0.294,0.412,0.0,0.176,0.059,0.529,0.059,0.471
Seq_298,0.059,0.294,0.471,0.0,0.235,0.059,0.588,0.059,0.412
Seq_299,0.059,0.353,0.471,0.0,0.235,0.059,0.588,0.059,0.471
Seq_300,0.059,0.353,0.471,0.059,0.176,0.059,0.588,0.118,0.529
Seq_301,0.059,0.353,0.471,0.059,0.235,0.059,0.529,0.118,0.471
Seq_302,0.059,0.353,0.529,0.059,0.235,0.059,0.529,0.118,0.529
Seq_303,0.059,0.294,0.588,0.059,0.235,0.059,0.529,0.118,0.471
Seq_304,0.059,0.294,0.588,0.059,0.235,0.059,0.471,0.118,0.471
Seq_305,0.0,0.294,0.588,0.059,0.235,0.0,0.471,0.059,0.529
Seq_306,0.0,0.294,0.588,0.059,0.235,0.0,0.471,0.118,0.588
Seq_307,0.0,0.294,0.529,0.059,0.235,0.0,0.412,0.118,0.588
Seq_308,0.0,0.235,0.588,0.059,0.235,0.0,0.412,0.118,0.588
Seq_309,0.0,0.294,0.529,0.059,0.235,0.0,0.412,0.118,0.647
Seq_310,0.0,0.294,0.529,0.059,0.235,0.0,0.471,0.118,0.647
Seq_311,0.0,0.235,0.588,0.059,0.235,0.0,0.529,0.118,0.647
Seq_312,0.0,0.235,0.529,0.059,0.176,0.0,0.471,0.176,0.706
Seq_313,0.0,0.235,0.529,0.118,0.176,0.0,0.529,0.235,0.706
Seq_314,0.0,0.294,0.471,0.118,0.176,0.0,0.471,0.235,0.706
Seq_315,0.0,0.294,0.412,0.118,0.118,0.0,0.412,0.235,0.765
Seq_316,0.0,0.235,0.471,0.118,0.118,0.0,0.412,0.235,0.765
Seq_317,0.0,0.235,0.471,0.059,0.176,0.0,0.412,0.176,0.706
Seq_318,0.0,0.176,0.529,0.059,0.118,0.0,0.471,0.176,0.765
Seq_319,0.0,0.235,0.471,0.059,0.118,0.0,0.529,0.176,0.765
Seq_320,0.0,0.294,0.412,0.059,0.118,0.0,0.471,0.176,0.765
Seq_321,0.0,0.294,0.412,0.059,0.118,0.0,0.529,0.176,0.706
Seq_322,0.0,0.353,0.412,0.059,0.118,0.0,0.529,0.176,0.706
Seq_323,0.0,0.412,0.412,0.059,0.176,0.0,0.529,0.118,0.647
Seq_324,0.0,0.412,0.471,0.059,0.176,0.0,0.588,0.118,0.588
Seq_325,0.0,0.412,0.412,0.059,0.176,0.0,0.529,0.118,0.529
Seq_326,0.0,0.353,0.412,0.059,0.176,0.0,0.471,0.118,0.471
Seq_327,0.0,0.353,0.412,0.059,0.176,0.0,0.471,0.118,0.471
Seq_328,0.0,0.353,0.412,0.118,0.176,0.0,0.471,0.176,0.529
Seq_329,0.0,0.353,0.412,0.118,0.176,0.0,0.471,0.118,0.529
Seq_330,0.0,0.353,0.412,0.059,0.176,0.0,0.412,0.059,0.529
